age,salary,experience_years,education_level,department,city_tier,work_hours_per_week,performance_score,promotion_last_5years,target_left_company
56,136748.0,33,PhD,IT,Tier-3,47,3.8,0,1
46,25287.0,28,High School,Finance,Tier-2,40,2.4,1,1
32,146593.0,3,PhD,HR,Tier-1,45,2.9703157894736845,0,0
60,54387.0,16,High School,IT,Tier-3,47,2.6,0,0
25,28512.0,34,Bachelor,Finance,Tier-2,64,1.9,0,1
38,21342.0,12,PhD,Operations,Tier-1,55,4.3,1,1
56,83076.0,38,PhD,Finance,Tier-3,45,2.3,1,0
36,128872.0,14,Bachelor,HR,Tier-3,35,4.3,0,0
40,39216.0,28,Bachelor,Marketing,Tier-2,41,1.0,0,1
28,137512.0,28,Bachelor,Finance,Tier-1,42,2.2,1,0
28,136682.0,10,PhD,Marketing,Tier-1,33,2.0,1,0
41,113070.0,31,Master,Operations,Tier-3,68,1.9,1,1
53,99767.0,1,Master,Finance,Tier-3,31,1.3,0,1
57,117829.0,13,Master,IT,Tier-3,55,1.7,0,1
41,46614.0,19,PhD,Marketing,Tier-1,56,3.2,0,0
20,56258.0,21,Bachelor,Operations,Tier-2,56,2.2,1,1
39,113789.0,10,PhD,IT,Tier-2,44,2.7,1,0
19,84772.0,26,Bachelor,IT,Tier-1,37,2.5,1,1
41,126288.0,2,PhD,IT,Tier-2,36,4.5,0,1
61,103524.0,16,PhD,IT,Tier-3,69,4.6,0,0
47,116573.0,27,Bachelor,Finance,Tier-2,41,3.0,1,0
55,32219.0,28,Master,Finance,Tier-2,42,2.3,0,1
19,20235.0,20,Bachelor,Finance,Tier-2,46,1.4,1,1
38,62929.0,15,High School,Operations,Tier-3,46,4.8,0,0
50,147309.0,36,High School,Operations,Tier-1,65,1.2,1,1
29,87444.0,19,Bachelor,Operations,Tier-3,50,2.2,0,0
39,28567.0,5,PhD,HR,Tier-1,37,2.2,0,0
61,121834.0,18,High School,Operations,Tier-1,34,2.3,1,1
42,84772.0,4,High School,Finance,Tier-1,55,1.7,1,0
44,85441.0,2,High School,Finance,Tier-2,45,4.1,1,0
59,104555.0,0,PhD,HR,Tier-2,65,1.5,1,0
45,93698.0,37,Master,HR,Tier-1,57,3.5,1,1
33,144450.0,14,PhD,Operations,Tier-1,58,1.5,0,0
32,84772.0,33,Bachelor,Marketing,Tier-2,41,1.3,1,1
64,25415.0,34,Bachelor,HR,Tier-3,66,4.6,1,1
61,56159.0,24,Master,IT,Tier-1,59,1.8,1,1
20,63925.0,23,High School,Finance,Tier-3,52,4.3,0,0
54,146523.0,11,High School,IT,Tier-2,45,3.2,1,0
24,84772.0,17,PhD,Finance,Tier-1,43,1.3,1,1
38,107388.0,14,Bachelor,Finance,Tier-3,39,4.8,1,1
26,28007.0,15,High School,HR,Tier-3,36,2.0,0,0
56,146730.0,26,Master,HR,Tier-3,66,4.4,0,1
35,61832.0,7,Master,IT,Tier-2,58,1.7,1,1
21,78596.0,24,Bachelor,Finance,Tier-2,32,4.4,0,0
42,141101.0,16,High School,IT,Tier-3,44,1.1,1,1
31,50523.0,28,High School,Marketing,Tier-3,65,3.0,0,0
26,108861.0,7,Bachelor,IT,Tier-2,48,4.1,1,0
43,144194.0,14,PhD,Operations,Tier-3,42,4.7,0,1
19,106740.0,26,PhD,IT,Tier-3,50,4.6,1,0
37,35524.0,6,High School,Operations,Tier-2,66,4.3,1,0
45,149028.0,2,PhD,Operations,Tier-3,56,4.6,0,0
64,39282.0,28,PhD,Operations,Tier-3,58,1.8,1,1
24,43930.0,23,Master,Marketing,Tier-3,49,2.1,1,1
61,20077.0,2,PhD,IT,Tier-2,54,2.2,1,1
25,125881.0,19,Master,IT,Tier-3,35,2.5,1,0
64,145501.0,14,High School,Marketing,Tier-2,65,2.6,0,0
52,40611.0,24,Bachelor,Finance,Tier-2,31,3.2,1,1
31,36984.0,29,Bachelor,HR,Tier-1,51,2.9703157894736845,0,1
34,34060.0,13,PhD,IT,Tier-1,61,3.8,0,0
53,102985.0,6,PhD,HR,Tier-3,45,1.7,0,1
57,104056.0,16,PhD,Marketing,Tier-2,47,2.2,0,1
21,145329.0,19,Bachelor,Finance,Tier-1,34,3.0,1,1
19,63303.0,35,High School,Finance,Tier-3,65,4.2,1,1
23,79207.0,8,High School,Finance,Tier-1,59,4.0,0,1
59,95046.0,37,Bachelor,Marketing,Tier-1,48,3.6,1,0
21,49287.0,21,High School,Operations,Tier-2,52,1.6,0,1
46,113709.0,1,Bachelor,Operations,Tier-2,63,3.2,1,1
35,59711.0,23,High School,HR,Tier-1,42,1.3,1,0
43,31954.0,7,Master,Operations,Tier-1,58,2.5,1,0
61,93340.0,10,Master,Operations,Tier-2,65,2.7,0,0
51,84772.0,12,Bachelor,Finance,Tier-3,51,1.2,0,0
27,91520.0,16,High School,Finance,Tier-2,65,2.1,1,1
53,107062.0,7,PhD,HR,Tier-1,38,4.8,0,1
31,122974.0,20,High School,IT,Tier-3,68,4.8,0,1
48,38574.0,17,Master,HR,Tier-1,48,2.9703157894736845,1,1
32,29184.0,29,Master,HR,Tier-3,67,1.2,0,0
25,39096.0,17,High School,Marketing,Tier-1,35,1.7,1,0
31,87728.0,30,High School,Marketing,Tier-3,44,2.6,1,1
40,54016.0,37,PhD,HR,Tier-3,49,4.8,1,1
57,31246.0,31,PhD,HR,Tier-1,38,1.6,0,1
38,65558.0,10,High School,HR,Tier-3,61,4.1,1,1
33,138721.0,24,High School,Operations,Tier-2,33,1.4,1,0
62,38381.0,32,High School,Marketing,Tier-1,47,4.9,0,1
35,147796.0,37,High School,HR,Tier-2,34,2.5,0,0
64,56455.0,7,Bachelor,Finance,Tier-1,49,4.1,0,0
41,112263.0,10,High School,Finance,Tier-3,52,2.4,0,0
43,84772.0,21,PhD,Operations,Tier-3,40,3.5,1,0
42,31302.0,23,Master,Operations,Tier-3,66,1.8,0,1
62,87506.0,16,Bachelor,IT,Tier-1,51,1.6,0,1
58,61157.0,11,High School,IT,Tier-2,33,4.8,0,1
46,74917.0,31,Master,IT,Tier-2,58,4.7,0,1
32,112738.0,14,Bachelor,Operations,Tier-1,63,4.5,1,0
62,116646.0,15,Master,Operations,Tier-1,42,3.5,0,0
18,103122.0,21,High School,Operations,Tier-2,38,4.2,1,0
42,44519.0,27,High School,Finance,Tier-2,60,1.3,0,1
24,116809.0,19,PhD,Operations,Tier-2,36,2.3,1,0
26,107487.0,32,High School,Finance,Tier-2,33,2.3,1,0
41,76819.0,9,High School,IT,Tier-1,48,3.5,0,0
18,100910.0,39,High School,IT,Tier-1,59,2.4,1,0
61,140430.0,31,PhD,IT,Tier-3,60,1.6,0,1
25,91324.0,32,Bachelor,HR,Tier-2,64,3.4,1,0
41,25408.0,1,High School,HR,Tier-3,50,4.3,1,0
28,79379.0,32,High School,Marketing,Tier-1,60,2.5,1,1
34,45053.0,32,Master,Marketing,Tier-1,48,2.9703157894736845,0,1
25,29446.0,12,Bachelor,Marketing,Tier-3,60,1.8,1,1
52,20922.0,29,High School,HR,Tier-2,61,1.9,0,0
52,118723.0,32,High School,HR,Tier-2,31,2.2,1,0
50,84772.0,12,Bachelor,Marketing,Tier-2,39,3.6,1,0
22,30789.0,25,Bachelor,Marketing,Tier-2,31,3.4,1,0
59,117720.0,21,Bachelor,Operations,Tier-3,31,2.9703157894736845,1,1
56,86656.0,38,Bachelor,Marketing,Tier-3,53,2.5,1,0
58,64028.0,1,Bachelor,Operations,Tier-1,46,4.3,1,0
45,84484.0,37,High School,Finance,Tier-2,61,1.8,0,1
24,52154.0,38,Bachelor,HR,Tier-2,45,2.9,0,1
26,102870.0,25,High School,Marketing,Tier-2,45,4.2,0,1
25,22336.0,14,High School,HR,Tier-3,68,1.7,1,0
29,123677.0,33,Bachelor,HR,Tier-2,60,1.4,0,0
51,87779.0,39,Bachelor,HR,Tier-3,53,4.5,1,0
50,39029.0,10,High School,Finance,Tier-2,30,2.4,0,0
40,79201.0,2,High School,IT,Tier-2,40,3.7,0,0
41,52265.0,5,Bachelor,Marketing,Tier-1,50,1.1,1,1
54,122916.0,8,Bachelor,IT,Tier-2,33,3.8,1,1
52,132250.0,5,Bachelor,IT,Tier-2,36,2.3,0,0
61,136553.0,8,PhD,IT,Tier-1,55,1.2,0,0
57,63872.0,38,PhD,HR,Tier-3,41,3.4,0,0
39,66197.0,30,High School,Operations,Tier-3,60,2.9703157894736845,0,0
44,145733.0,31,High School,HR,Tier-2,46,2.5,1,0
52,75180.0,11,Master,HR,Tier-3,62,1.3,0,1
18,84772.0,7,Bachelor,IT,Tier-2,40,1.6,1,1
52,49486.0,7,PhD,HR,Tier-1,57,2.2,1,1
54,91907.0,27,PhD,IT,Tier-1,61,1.4,0,0
64,148876.0,19,Master,Operations,Tier-2,30,4.6,1,0
31,91895.0,6,PhD,Marketing,Tier-1,57,1.0,0,1
20,84435.0,10,Bachelor,IT,Tier-1,36,2.9,1,1
18,60631.0,19,PhD,Operations,Tier-2,31,1.5,1,0
22,149038.0,15,Master,Marketing,Tier-2,53,2.2,0,1
43,121532.0,3,Bachelor,Finance,Tier-1,33,4.7,1,1
31,40103.0,5,Master,IT,Tier-3,48,1.6,1,0
56,84772.0,21,PhD,IT,Tier-3,55,4.9,0,1
44,146108.0,25,Master,Finance,Tier-2,40,1.8,1,1
26,34382.0,2,Master,Finance,Tier-2,69,4.0,1,1
32,104291.0,13,High School,IT,Tier-3,40,3.2,0,0
32,121195.0,10,PhD,Finance,Tier-1,32,4.5,0,1
43,23756.0,17,PhD,HR,Tier-3,41,3.2,1,1
59,40609.0,11,Master,Marketing,Tier-3,32,3.1,1,1
30,134074.0,22,High School,Marketing,Tier-3,56,1.8,1,0
49,36478.0,11,PhD,Marketing,Tier-3,31,1.7,0,0
56,120978.0,12,Bachelor,HR,Tier-2,45,4.7,1,1
49,59666.0,24,Master,Finance,Tier-2,31,2.3,1,0
21,95683.0,18,PhD,Operations,Tier-1,59,2.5,1,1
47,119097.0,35,Bachelor,Finance,Tier-1,49,4.0,1,0
54,144714.0,7,High School,IT,Tier-1,67,2.4,1,0
40,120420.0,28,Bachelor,Marketing,Tier-1,57,2.9703157894736845,1,1
56,91315.0,31,Master,Finance,Tier-3,54,4.0,0,1
62,97834.0,17,PhD,Operations,Tier-2,61,3.4,0,1
32,146205.0,5,PhD,IT,Tier-2,39,4.5,1,0
60,34153.0,17,High School,HR,Tier-1,69,1.2,1,1
46,129415.0,18,Master,HR,Tier-1,62,2.0,0,0
53,96325.0,21,Bachelor,Operations,Tier-3,42,2.9,0,0
30,129701.0,36,PhD,IT,Tier-3,66,1.9,0,1
49,32999.0,31,PhD,Marketing,Tier-1,45,4.0,1,0
24,84772.0,2,Bachelor,Finance,Tier-2,51,4.7,1,1
39,20814.0,27,Master,IT,Tier-2,49,2.7,1,0
45,135033.0,9,High School,HR,Tier-2,56,2.4,1,1
19,96077.0,34,High School,Operations,Tier-1,45,4.8,0,0
59,110474.0,28,PhD,Operations,Tier-2,63,2.8,0,0
62,22443.0,14,Bachelor,Finance,Tier-3,61,3.0,0,1
23,95993.0,32,PhD,Operations,Tier-3,55,2.4,0,0
45,95916.0,6,Bachelor,Operations,Tier-1,54,2.9703157894736845,1,1
45,93319.0,11,High School,IT,Tier-3,31,3.3,1,0
61,84772.0,29,Master,Marketing,Tier-1,41,4.0,0,0
61,129777.0,20,Bachelor,Finance,Tier-2,69,4.2,0,0
37,37368.0,30,High School,IT,Tier-2,38,2.9703157894736845,0,1
47,35328.0,23,PhD,Marketing,Tier-2,41,2.7,0,1
28,76942.0,19,Bachelor,IT,Tier-3,55,4.4,0,1
45,111751.0,36,Master,IT,Tier-1,38,2.5,1,1
42,119131.0,3,High School,Operations,Tier-2,39,4.2,1,1
56,47306.0,27,PhD,Marketing,Tier-1,61,4.8,0,0
50,105451.0,19,High School,Finance,Tier-2,63,3.5,0,0
18,59915.0,23,Bachelor,Finance,Tier-3,49,4.0,0,1
44,57219.0,31,PhD,Marketing,Tier-3,68,4.2,1,0
30,100879.0,35,Master,Operations,Tier-1,31,4.4,1,0
58,131939.0,33,Bachelor,HR,Tier-3,30,2.6,1,0
20,84644.0,35,Master,IT,Tier-3,65,1.2,0,0
56,80279.0,1,PhD,Operations,Tier-1,53,2.6,1,1
23,73028.0,14,Master,Marketing,Tier-2,56,3.7,0,0
25,124263.0,33,High School,IT,Tier-3,31,2.8,1,1
44,20126.0,35,Master,Finance,Tier-1,60,4.0,1,1
26,72329.0,5,Bachelor,HR,Tier-3,43,2.9703157894736845,1,0
54,47632.0,38,Master,Finance,Tier-3,31,3.5,0,1
50,127099.0,11,Master,Marketing,Tier-3,58,1.7,0,0
59,85310.0,2,High School,IT,Tier-3,44,4.0,1,0
61,129945.0,17,Master,Marketing,Tier-1,41,3.2,0,0
41,75176.0,39,Master,IT,Tier-1,66,1.8,0,1
32,139797.0,20,PhD,Operations,Tier-1,57,2.2,0,1
49,106066.0,14,PhD,HR,Tier-3,49,4.0,0,1
49,125500.0,32,Bachelor,Operations,Tier-3,68,2.9,0,0
41,146413.0,34,PhD,Operations,Tier-3,53,1.9,0,0
58,64327.0,25,PhD,Marketing,Tier-1,50,4.9,0,0
29,88904.0,7,PhD,HR,Tier-3,39,3.9,1,1
56,23797.0,35,PhD,IT,Tier-2,43,4.8,0,0
19,67882.0,29,High School,IT,Tier-3,66,2.7,0,0
20,33718.0,22,PhD,Finance,Tier-2,47,2.9,1,1
54,54560.0,13,High School,IT,Tier-3,53,4.6,1,1
34,96589.0,13,High School,Marketing,Tier-1,43,3.1,1,1
19,42116.0,1,PhD,Operations,Tier-3,63,3.8,1,0
19,56244.0,36,Master,Operations,Tier-2,41,2.0,0,0
45,121721.0,4,High School,Operations,Tier-2,51,2.8,1,0
40,21645.0,37,Master,HR,Tier-3,35,1.5,1,1
54,67523.0,13,Master,IT,Tier-2,65,1.8,0,1
49,144085.0,38,PhD,Marketing,Tier-2,65,1.0,0,1
50,137718.0,24,Bachelor,HR,Tier-1,51,1.2,0,1
18,39256.0,19,PhD,Finance,Tier-3,43,4.9,1,0
36,121376.0,1,Bachelor,Marketing,Tier-3,45,2.0,0,0
19,120158.0,38,Bachelor,Marketing,Tier-3,65,3.7,1,0
61,73173.0,5,PhD,Marketing,Tier-2,54,4.4,0,0
43,57430.0,16,PhD,Operations,Tier-3,61,3.2,0,0
49,59282.0,24,Bachelor,Marketing,Tier-3,62,1.6,1,0
23,139719.0,27,PhD,IT,Tier-1,65,3.9,0,0
49,83374.0,1,Bachelor,Marketing,Tier-1,49,3.4,0,0
21,88244.0,34,Master,Operations,Tier-1,47,3.9,0,1
28,31694.0,36,PhD,Marketing,Tier-2,67,4.1,0,1
34,76264.0,4,Master,Finance,Tier-3,32,4.9,0,0
55,95060.0,0,High School,Finance,Tier-1,52,3.3,1,1
41,117416.0,39,Master,Operations,Tier-1,61,2.4,1,0
22,77545.0,11,Master,IT,Tier-1,45,3.6,0,0
51,138195.0,35,Bachelor,IT,Tier-3,34,1.3,1,1
23,59224.0,22,Master,HR,Tier-3,33,4.6,1,0
39,122516.0,30,PhD,Operations,Tier-3,50,1.5,1,0
28,117945.0,10,Bachelor,Marketing,Tier-2,69,2.3,0,0
33,33224.0,9,High School,Operations,Tier-2,43,4.3,0,0
50,60738.0,2,PhD,HR,Tier-1,68,3.4,0,0
26,45150.0,13,High School,Operations,Tier-3,60,2.6,1,0
23,83731.0,15,Master,Operations,Tier-1,43,2.9,1,0
33,69688.0,9,PhD,HR,Tier-3,35,4.4,0,1
46,119929.0,28,PhD,IT,Tier-3,41,2.4,0,1
20,128618.0,9,High School,Marketing,Tier-3,45,4.5,1,0
37,93509.0,11,High School,HR,Tier-2,46,1.4,1,1
53,28577.0,29,PhD,Finance,Tier-2,52,4.1,0,0
36,28070.0,0,PhD,IT,Tier-3,43,4.4,1,0
43,146161.0,4,Master,Finance,Tier-1,36,1.7,1,0
20,28666.0,19,High School,IT,Tier-3,61,2.7,1,0
36,77761.0,7,PhD,Marketing,Tier-3,44,1.7,1,1
37,141178.0,11,Bachelor,Marketing,Tier-1,46,3.8,1,1
49,56368.0,0,Bachelor,Operations,Tier-3,63,3.1,1,1
24,26783.0,19,Bachelor,Finance,Tier-1,34,3.5,1,1
58,131530.0,27,Bachelor,IT,Tier-2,56,1.8,0,0
50,84772.0,36,Master,Marketing,Tier-2,52,1.8,0,1
57,90507.0,36,PhD,HR,Tier-1,69,1.2,1,0
56,147738.0,11,High School,Marketing,Tier-2,43,2.3,1,0
35,99026.0,36,High School,HR,Tier-2,44,3.2,1,1
57,84772.0,27,Master,IT,Tier-1,62,4.4,0,0
18,131255.0,14,Bachelor,Marketing,Tier-2,60,3.7,0,1
28,130616.0,5,Master,Marketing,Tier-3,64,2.7,1,1
45,87526.0,19,PhD,IT,Tier-3,46,4.8,0,1
42,90835.0,13,High School,Marketing,Tier-1,57,3.9,1,1
40,65765.0,1,Master,HR,Tier-2,48,4.7,1,1
48,39956.0,8,High School,Marketing,Tier-3,52,3.1,1,0
47,107895.0,36,Master,Finance,Tier-3,61,2.0,1,1
59,66240.0,19,High School,Operations,Tier-2,69,1.2,1,1
52,141008.0,25,High School,HR,Tier-2,42,3.9,1,0
24,57148.0,28,Bachelor,Finance,Tier-3,49,1.5,1,1
33,114270.0,0,High School,IT,Tier-3,64,2.2,0,1
43,147978.0,34,Bachelor,HR,Tier-1,34,3.1,1,0
19,24757.0,5,PhD,Operations,Tier-1,38,3.3,0,0
18,39097.0,36,PhD,Operations,Tier-3,58,3.4,1,1
29,84772.0,4,Bachelor,IT,Tier-1,35,1.7,1,0
22,36241.0,32,Bachelor,IT,Tier-3,54,2.5,0,1
54,123892.0,13,Master,HR,Tier-3,60,3.5,0,0
49,47696.0,11,Master,Marketing,Tier-1,51,4.9,1,1
26,135654.0,19,Master,IT,Tier-1,31,3.9,0,1
58,90480.0,23,High School,Marketing,Tier-2,34,4.7,1,1
52,66163.0,33,Master,Finance,Tier-2,56,4.0,1,0
36,39816.0,24,High School,Operations,Tier-2,54,2.9703157894736845,0,1
33,69840.0,28,High School,Marketing,Tier-3,37,1.8,0,0
20,122547.0,38,Master,Operations,Tier-1,30,3.7,0,1
37,72853.0,30,High School,Marketing,Tier-3,49,3.5,0,1
41,44917.0,22,PhD,Finance,Tier-1,52,3.4,1,1
50,116731.0,37,High School,IT,Tier-3,61,3.0,0,1
41,41566.0,19,PhD,Finance,Tier-2,40,3.1,0,1
28,95452.0,22,Bachelor,IT,Tier-2,68,2.3,0,0
25,82823.0,15,Bachelor,IT,Tier-2,53,3.1,0,0
53,141392.0,7,Bachelor,Operations,Tier-3,40,1.8,0,0
55,40806.0,20,Bachelor,Finance,Tier-1,58,4.2,1,1
57,95520.0,0,High School,Marketing,Tier-1,55,1.7,1,1
37,21759.0,7,Master,Finance,Tier-2,45,1.3,0,0
52,146092.0,28,High School,Operations,Tier-2,64,2.7,0,1
42,61949.0,31,PhD,IT,Tier-2,49,3.6,1,1
52,112374.0,37,High School,Operations,Tier-2,32,2.8,0,1
42,22482.0,4,High School,HR,Tier-1,30,2.1,1,0
46,44442.0,21,PhD,HR,Tier-3,30,3.2,1,0
35,53719.0,33,Bachelor,Marketing,Tier-3,46,2.4,0,0
63,78066.0,0,Bachelor,Operations,Tier-3,31,4.7,1,0
35,113501.0,25,Bachelor,Marketing,Tier-3,58,4.7,0,0
19,22079.0,9,Master,Marketing,Tier-2,49,3.0,0,1
52,22717.0,29,PhD,HR,Tier-2,35,2.3,1,1
33,79676.0,17,PhD,Marketing,Tier-2,37,3.9,1,1
58,47952.0,16,High School,HR,Tier-3,58,1.1,0,1
53,106444.0,25,Master,IT,Tier-2,62,2.9,1,0
50,62460.0,7,Bachelor,Operations,Tier-2,32,2.3,0,0
21,110397.0,39,Master,Marketing,Tier-1,64,4.7,1,1
50,92847.0,11,PhD,HR,Tier-1,34,1.0,1,0
31,113607.0,26,PhD,Finance,Tier-2,56,3.2,0,1
38,109106.0,7,High School,Marketing,Tier-1,41,4.0,0,1
37,38449.0,24,High School,IT,Tier-1,49,2.9,0,1
25,53536.0,3,PhD,IT,Tier-2,49,1.3,1,1
24,84077.0,32,Bachelor,Finance,Tier-2,38,4.9,0,0
20,58258.0,0,Bachelor,HR,Tier-2,68,3.1,0,1
34,68302.0,18,Master,Marketing,Tier-2,33,3.5,1,0
50,145937.0,30,High School,HR,Tier-3,48,1.9,1,1
29,48865.0,15,PhD,IT,Tier-3,67,2.9,0,1
39,26645.0,13,Bachelor,HR,Tier-2,56,2.7,0,1
39,139771.0,4,Bachelor,IT,Tier-1,42,1.3,0,1
63,58000.0,25,PhD,HR,Tier-2,42,1.4,0,0
47,46737.0,27,High School,Finance,Tier-2,51,2.9703157894736845,1,1
55,31485.0,1,PhD,Operations,Tier-1,57,2.0,1,0
55,58565.0,5,PhD,Finance,Tier-3,51,1.8,0,1
62,45522.0,8,Bachelor,Finance,Tier-2,48,3.0,0,1
25,139614.0,32,High School,Operations,Tier-2,37,4.1,0,1
44,85155.0,24,High School,Operations,Tier-3,37,1.2,1,0
44,75168.0,12,High School,Marketing,Tier-3,55,3.3,0,1
51,84772.0,8,Master,Marketing,Tier-1,55,1.5,0,1
38,149948.0,12,PhD,Finance,Tier-3,52,1.1,1,1
47,32342.0,30,Bachelor,Finance,Tier-3,42,1.2,1,1
50,60806.0,10,High School,IT,Tier-3,57,4.3,0,1
45,68770.0,3,Master,IT,Tier-1,38,1.5,0,0
64,98623.0,33,Master,Marketing,Tier-3,49,1.2,1,0
50,123177.0,37,Bachelor,Marketing,Tier-3,48,2.8,0,1
22,119785.0,3,Bachelor,IT,Tier-1,68,4.4,0,1
36,95629.0,37,Master,IT,Tier-3,41,2.0,1,0
21,140993.0,18,High School,HR,Tier-3,44,2.7,1,1
52,72603.0,5,Master,HR,Tier-1,60,1.2,1,0
34,146944.0,33,PhD,IT,Tier-2,43,2.8,0,1
